product_id,category_id,unit_of_measure,unit_cost_rwf,selling_price_rwf,product_status,reorder_point_units,lead_time_buffer_days,movement_type,quantity_ordered_units,quantity_fulfilled_units,remaining_stock_units,order_id,customer_id,region,lost_sale_qty_units,po_id,supplier_id,transaction_date,landed_cost_rwf
HUB-DAP-493,Fertilizers,Bag (50kg),18100,21357,available,566,10,Purchase,0,0,3477,e4f3262b,AGRO-DEALER-109,Musanze,0,PO-INTL-36734,Bakhresa Group,1/16/2025 23:00,23530
HUB-DIT-617,Pesticides,Bottle (1L/500ml),27310,35411,sold,1191,43,Sale,51,51,7142,2aadd0f2,AGRO-DEALER-26,Musanze,0,PO-INTL-85703,Agrotech,1/17/2025 1:00,35503
HUB-URE-449,Fertilizers,Bag (50kg),42348,48780,sold,1342,10,Sale,79,79,5813,080a30e5,AGRO-DEALER-190,Gasabo,0,PO-INTL-23046,Agrotech,1/17/2025 6:00,55052
HUB-CYP-946,Pesticides,Bottle (1L/500ml),32878,46007,available,1145,10,Purchase,0,0,7568,58817eec,AGRO-DEALER-118,Gasabo,0,PO-INTL-94471,Yalla Yalla Ltd,1/17/2025 14:00,42741
HUB-DIT-425,Pesticides,Bottle (1L/500ml),33738,43311,sold,909,11,Sale,54,54,7088,cf287160,AGRO-DEALER-118,Huye,0,PO-INTL-68067,ETG Rwanda,1/17/2025 23:00,43859
HUB-PIC-944,Equipment,Unit (Piece),29425,35962,sold,758,42,Sale,20,20,2759,13d0f3a7,AGRO-DEALER-161,Musanze,0,PO-INTL-69383,Yalla Yalla Ltd,1/18/2025 0:00,38252
HUB-DAP-428,Fertilizers,Bag (50kg),44598,54882,available,1284,43,Purchase,0,0,5319,07bdba49,AGRO-DEALER-9,Nyagatare,0,PO-INTL-89767,Yalla Yalla Ltd,1/18/2025 10:00,57977
HUB-CYP-687,Pesticides,Bottle (1L/500ml),39029,52162,sold,1494,15,Sale,84,84,7484,3729390c,AGRO-DEALER-35,Gasabo,0,PO-INTL-15415,Bakhresa Group,1/18/2025 11:00,50738
HUB-HYB-264,Seeds,Packet (2kg-5kg),38118,50988,sold,504,27,Sale,44,44,3750,8c7fcb88,AGRO-DEALER-83,Nyagatare,0,PO-INTL-10077,Yalla Yalla Ltd,1/18/2025 19:00,49553
HUB-HYB-790,Seeds,Packet (2kg-5kg),20698,28028,sold,1136,38,Sale,23,23,3727,0ef183dd,AGRO-DEALER-166,Gasabo,0,PO-INTL-97062,Agrotech,1/19/2025 5:00,26907
HUB-ROC-745,Pesticides,Bottle (1L/500ml),19214,23977,sold,1078,12,Sale,62,62,7167,ce57ec69,AGRO-DEALER-135,Nyagatare,0,PO-INTL-34519,Yalla Yalla Ltd,1/19/2025 14:00,24978
HUB-KNA-510,Equipment,Unit (Piece),26338,36175,sold,1450,39,Sale,47,47,1176,e3b101b0,AGRO-DEALER-33,Huye,0,PO-INTL-29029,Yalla Yalla Ltd,1/19/2025 15:00,34239
HUB-HYB-976,Seeds,Packet (2kg-5kg),35185,41368,sold,715,42,Sale,56,56,3671,dee9898e,AGRO-DEALER-180,Rubavu,0,PO-INTL-30103,ETG Rwanda,1/20/2025 2:00,45740
HUB-DAP-893,Fertilizers,Bag (50kg),33890,45074,sold,1310,42,Sale,45,45,5274,3663566c,AGRO-DEALER-27,Rubavu,0,PO-INTL-81315,Agrotech,1/20/2025 6:00,44057
HUB-CLI-317,Seeds,Packet (2kg-5kg),28336,35426,sold,640,18,Sale,55,55,1906,ec54bca8,AGRO-DEALER-104,Musanze,0,PO-INTL-27368,ETG Rwanda,1/20/2025 14:00,36837
HUB-CYP-150,Pesticides,Bottle (1L/500ml),41750,56259,sold,528,15,Sale,40,40,7444,94cd8baf,AGRO-DEALER-40,Gasabo,0,PO-INTL-13797,Agrotech,1/20/2025 18:00,54275
HUB-ROC-930,Pesticides,Bottle (1L/500ml),44394,60364,sold,1449,7,Sale,66,66,7101,adbc5d89,AGRO-DEALER-55,Nyagatare,0,PO-INTL-73374,ETG Rwanda,1/20/2025 23:00,57712
HUB-ROC-674,Pesticides,Bottle (1L/500ml),18408,24864,sold,743,41,Sale,50,50,7051,1a8750bd,AGRO-DEALER-25,Musanze,0,PO-INTL-83509,Yalla Yalla Ltd,1/21/2025 4:00,23930
HUB-DIT-124,Pesticides,Bottle (1L/500ml),34500,43575,sold,1466,30,Sale,60,60,7028,a37ad5ab,AGRO-DEALER-180,Rubavu,0,PO-INTL-97895,ETG Rwanda,1/21/2025 15:00,44850
HUB-NPK-183,Fertilizers,Bag (50kg),30291,34934,sold,860,23,Sale,80,80,5549,b374bac2,AGRO-DEALER-177,Huye,0,PO-INTL-62853,Yalla Yalla Ltd,1/22/2025 2:00,39378
HUB-PIC-417,Equipment,Unit (Piece),25088,32585,sold,531,25,Sale,96,96,2663,543cad05,AGRO-DEALER-158,Rubavu,0,PO-INTL-37952,ETG Rwanda,1/22/2025 10:00,32614
HUB-URE-212,Fertilizers,Bag (50kg),28498,34868,sold,613,34,Sale,75,75,5738,da21b57d,AGRO-DEALER-166,Nyagatare,0,PO-INTL-75155,ETG Rwanda,1/22/2025 18:00,37047
HUB-PIC-186,Equipment,Unit (Piece),42845,53270,sold,554,39,Sale,43,43,2620,0aa54538,AGRO-DEALER-32,Musanze,0,PO-INTL-95382,ETG Rwanda,1/23/2025 1:00,55698
HUB-PIC-678,Equipment,Unit (Piece),13879,16763,sold,550,43,Sale,81,81,2539,7966bed2,AGRO-DEALER-97,Huye,0,PO-INTL-89111,Yalla Yalla Ltd,1/23/2025 10:00,18043
HUB-DIT-834,Pesticides,Bottle (1L/500ml),37274,51836,available,1322,20,Purchase,0,0,7996,b891143d,AGRO-DEALER-176,Musanze,0,PO-INTL-16150,Yalla Yalla Ltd,1/23/2025 18:00,48456
HUB-ROC-613,Pesticides,Bottle (1L/500ml),38925,45959,available,1396,24,Purchase,0,0,8250,af08188a,AGRO-DEALER-47,Rubavu,0,PO-INTL-97955,Agrotech,1/24/2025 1:00,50602
HUB-SOY-325,Seeds,Packet (2kg-5kg),19522,22617,available,552,36,Purchase,0,0,5254,6c41e2e7,AGRO-DEALER-172,Nyagatare,0,PO-INTL-27771,Bakhresa Group,1/24/2025 3:00,25379
HUB-URE-620,Fertilizers,Bag (50kg),44415,56308,sold,1051,20,Sale,90,90,5648,e9fff891,AGRO-DEALER-194,Rubavu,0,PO-INTL-70774,ETG Rwanda,1/24/2025 11:00,57740
HUB-CLI-937,Seeds,Packet (2kg-5kg),21868,25871,available,645,17,Purchase,0,0,3210,b8d34532,AGRO-DEALER-128,Rubavu,0,PO-INTL-48243,ETG Rwanda,1/24/2025 22:00,28428
HUB-CLI-126,Seeds,Packet (2kg-5kg),21210,27029,sold,1324,27,Sale,95,95,3115,7ec05fda,AGRO-DEALER-31,Nyagatare,0,PO-INTL-14263,Yalla Yalla Ltd,1/24/2025 23:00,27573
HUB-PIC-921,Equipment,Unit (Piece),24771,32037,available,862,8,Purchase,0,0,4538,c666b4f0,AGRO-DEALER-193,Nyagatare,0,PO-INTL-31172,Bakhresa Group,1/25/2025 8:00,32202
HUB-DIT-409,Pesticides,Bottle (1L/500ml),38483,48462,available,597,41,Purchase,0,0,9302,146e8b6a,AGRO-DEALER-55,Rubavu,0,PO-INTL-99399,ETG Rwanda,1/25/2025 13:00,50028
HUB-SOY-600,Seeds,Packet (2kg-5kg),11481,15619,available,572,8,Purchase,0,0,5907,832dd0f8,AGRO-DEALER-40,Gasabo,0,PO-INTL-64912,ETG Rwanda,1/25/2025 17:00,14925
HUB-DAP-201,Fertilizers,Bag (50kg),22393,27131,available,1365,36,Purchase,0,0,7232,e247796c,AGRO-DEALER-12,Nyagatare,0,PO-INTL-79626,ETG Rwanda,1/26/2025 1:00,29111
HUB-NPK-438,Fertilizers,Bag (50kg),32622,41767,sold,1275,30,Sale,89,89,5460,d7adcfee,AGRO-DEALER-149,Gasabo,0,PO-INTL-11750,ETG Rwanda,1/26/2025 11:00,42409
HUB-CLI-146,Seeds,Packet (2kg-5kg),14987,19069,sold,787,32,Sale,35,35,3080,75c670d3,AGRO-DEALER-10,Gasabo,0,PO-INTL-22182,Yalla Yalla Ltd,1/26/2025 19:00,19483
HUB-URE-597,Fertilizers,Bag (50kg),17514,20669,sold,1326,14,Sale,57,57,5591,24f23329,AGRO-DEALER-82,Huye,0,PO-INTL-35510,Agrotech,1/27/2025 5:00,22768
HUB-SOY-230,Seeds,Packet (2kg-5kg),30782,40403,sold,1304,40,Sale,69,69,5838,9af6f2e6,AGRO-DEALER-171,Musanze,0,PO-INTL-30662,Agrotech,1/27/2025 15:00,40017
HUB-PIC-115,Equipment,Unit (Piece),26580,35821,sold,992,39,Sale,91,91,4447,6cfcfa89,AGRO-DEALER-170,Huye,0,PO-INTL-90765,Yalla Yalla Ltd,1/27/2025 23:00,34554
HUB-CYP-707,Pesticides,Bottle (1L/500ml),44614,51309,sold,1238,38,Sale,27,27,7417,9ee61638,AGRO-DEALER-123,Huye,0,PO-INTL-55084,Yalla Yalla Ltd,1/28/2025 9:00,57998
HUB-NPK-458,Fertilizers,Bag (50kg),24191,31332,sold,839,36,Sale,19,19,5441,771826bd,AGRO-DEALER-133,Gasabo,0,PO-INTL-42733,ETG Rwanda,1/28/2025 14:00,31448
HUB-ROC-684,Pesticides,Bottle (1L/500ml),16490,20185,sold,898,7,Sale,34,34,8216,87e4fea0,AGRO-DEALER-49,Gasabo,0,PO-INTL-99431,Bakhresa Group,1/28/2025 22:00,21437
HUB-PIC-110,Equipment,Unit (Piece),36920,44848,sold,561,30,Sale,48,48,4399,b1ef15b2,AGRO-DEALER-77,Musanze,0,PO-INTL-58280,Agrotech,1/29/2025 8:00,47996
HUB-KNA-924,Equipment,Unit (Piece),21063,28634,sold,717,40,Sale,83,83,1093,aca33e26,AGRO-DEALER-169,Gasabo,0,PO-INTL-65554,Bakhresa Group,1/29/2025 19:00,27382
HUB-HYB-789,Seeds,Packet (2kg-5kg),30191,36352,sold,1349,41,Sale,29,29,3642,e1a40ea7,AGRO-DEALER-62,Gasabo,0,PO-INTL-34578,Bakhresa Group,1/30/2025 0:00,39248
HUB-DIT-734,Pesticides,Bottle (1L/500ml),34915,40457,available,1487,9,Purchase,0,0,10753,96295b0c,AGRO-DEALER-29,Gasabo,0,PO-INTL-27602,ETG Rwanda,1/30/2025 8:00,45390
HUB-CLI-137,Seeds,Packet (2kg-5kg),18162,25116,sold,827,21,Sale,97,97,2983,ee8a5493,AGRO-DEALER-133,Musanze,0,PO-INTL-51873,Yalla Yalla Ltd,1/30/2025 17:00,23611
HUB-NPK-667,Fertilizers,Bag (50kg),44659,52045,available,539,9,Purchase,0,0,6289,5e6b51f1,AGRO-DEALER-98,Nyagatare,0,PO-INTL-96231,Agrotech,1/30/2025 22:00,58057
HUB-KNA-792,Equipment,Unit (Piece),11294,13441,sold,669,31,Sale,54,54,1039,ebd027a0,AGRO-DEALER-100,Nyagatare,0,PO-INTL-12469,Bakhresa Group,1/30/2025 23:00,14682
HUB-ROC-462,Pesticides,Bottle (1L/500ml),43453,55027,available,936,38,Purchase,0,0,10133,f8f433dd,AGRO-DEALER-158,Musanze,0,PO-INTL-28787,Yalla Yalla Ltd,1/31/2025 10:00,56489
HUB-HYB-965,Seeds,Packet (2kg-5kg),12725,14901,sold,1199,37,Sale,26,26,3616,16f43844,AGRO-DEALER-192,Rubavu,0,PO-INTL-11007,Yalla Yalla Ltd,1/31/2025 17:00,16542
HUB-DIT-321,Pesticides,Bottle (1L/500ml),26651,37065,sold,536,21,Sale,69,69,10684,abe8390b,AGRO-DEALER-22,Huye,0,PO-INTL-82595,Bakhresa Group,2/1/2025 0:00,34646
HUB-KNA-121,Equipment,Unit (Piece),17039,22611,sold,973,7,Sale,19,19,1020,885ffc0d,AGRO-DEALER-120,Nyagatare,0,PO-INTL-77889,Yalla Yalla Ltd,2/1/2025 4:00,22151
HUB-PIC-132,Equipment,Unit (Piece),30903,40131,sold,1145,17,Sale,38,38,4361,c8fde79b,AGRO-DEALER-111,Nyagatare,0,PO-INTL-37082,Yalla Yalla Ltd,2/1/2025 8:00,40174
HUB-DIT-986,Pesticides,Bottle (1L/500ml),15945,22312,sold,1296,21,Sale,22,22,10662,0170e158,AGRO-DEALER-157,Nyagatare,0,PO-INTL-33411,Bakhresa Group,2/1/2025 10:00,20728
HUB-SOY-120,Seeds,Packet (2kg-5kg),31180,37987,available,802,35,Adjustment,0,0,5834,4cb42959,AGRO-DEALER-101,Nyagatare,0,PO-INTL-63331,Yalla Yalla Ltd,2/1/2025 14:00,40534
HUB-ROC-931,Pesticides,Bottle (1L/500ml),44359,55552,available,1292,41,Purchase,0,0,11818,188ed1dd,AGRO-DEALER-24,Huye,0,PO-INTL-36385,Agrotech,2/1/2025 19:00,57667
HUB-KNA-126,Equipment,Unit (Piece),43728,52315,available,1185,21,Purchase,0,0,2039,bc5616eb,AGRO-DEALER-50,Huye,0,PO-INTL-49110,Agrotech,2/2/2025 6:00,56846
HUB-NPK-305,Fertilizers,Bag (50kg),41834,54558,sold,954,36,Sale,34,34,6255,41aa99c3,AGRO-DEALER-17,Huye,0,PO-INTL-61027,Bakhresa Group,2/2/2025 14:00,54384
HUB-URE-683,Fertilizers,Bag (50kg),11433,15010,sold,894,30,Sale,11,11,5580,4613dfbc,AGRO-DEALER-64,Rubavu,0,PO-INTL-70112,Bakhresa Group,2/2/2025 23:00,14863
HUB-URE-900,Fertilizers,Bag (50kg),24198,31458,sold,601,31,Sale,54,54,5526,5737b0fd,AGRO-DEALER-169,Nyagatare,0,PO-INTL-42981,Agrotech,2/3/2025 1:00,31457
HUB-PIC-191,Equipment,Unit (Piece),9112,11779,sold,1159,28,Sale,63,63,4298,87b3ebf4,AGRO-DEALER-161,Musanze,0,PO-INTL-84663,Bakhresa Group,2/3/2025 2:00,11846
HUB-HYB-202,Seeds,Packet (2kg-5kg),26370,36144,sold,693,32,Sale,86,86,3530,90e1b453,AGRO-DEALER-166,Musanze,0,PO-INTL-60861,Yalla Yalla Ltd,2/3/2025 4:00,34281
